ID Registro,Cidade,País,Fonte Energia,Consumo MWh,Custo Unitário USD,Ano,Emissoes CO2 Ton,Perc Energia Renovavel,Residencias Atendidas,Investimento Infra Bilhoes,Emissão CO2,Eficiência Energetica,População Cidade,Indústria Predominante,Clima
49,Pequim,China,Carvão,11881,14,2017,361387,"0,8914",216907,4257,2305765,6004,4748979,Turismo,Desértico
50,Xangai,China,Eólica,30050,13,2015,367641,"0,1985",148855,3408,2504808,9745,19893445,Tecnologia,Tropical
51,Tóquio,Japão,Eólica,24924,15,2015,166582,"0,4966",458860,3047,468518,8146,6115013,Financeiro,Desértico
52,Osaka,Japão,Solar,47645,9,2023,417489,"0,7455",72359,3046,6335328,7596,16982045,Mineração,Frio
53,Londres,Reino Unido,Carvão,11399,25,2015,94022,"0,4087",504471,1559,2121367,7754,10397230,Tecnologia,Temperado
54,Paris,França,Nuclear,18593,15,2019,165121,"0,3048",421367,2701,1974361,7051,10384775,Manufatura,Tropical
55,Toronto,Canadá,Solar,7469,6,2017,491128,"0,4213",983920,4365,375973,9718,685036,Turismo,Desértico
56,Vancouver,Canadá,Nuclear,27840,8,2015,330154,"0,3127",701039,3834,1180088,5761,18982532,Mineração,Mediterrâneo
57,Sydney,Austrália,Hidrelétrica,41807,19,2015,473856,"0,7277",956237,3657,350607,738,17804617,Manufatura,Temperado
58,Melbourne,Austrália,Eólica,25494,22,2022,273613,"0,7327",542199,934,3029347,6619,18821307,Financeiro,Temperado
59,Cidade do México,México,Carvão,554,7,2020,10239,"0,1771",511193,472,90873,9026,15657591,Manufatura,Mediterrâneo
60,Moscou,Rússia,Eólica,13916,24,2020,1888,"0,4356",228525,308,97055,8009,8951161,Tecnologia,Temperado
61,Nova York,Estados Unidos,Gás Natural,23484,7,2018,208838,"0,6199",534705,153,1644226,501,1024402,Financeiro,Frio
62,Los Angeles,Estados Unidos,Carvão,23488,8,2022,262402,"0,7865",462528,4775,1209377,9378,8846247,Financeiro,Desértico
63,São Paulo,Brasil,Gás Natural,8624,21,2023,409915,"0,3317",207689,2851,2081204,7596,12035819,Financeiro,Frio
64,Rio de Janeiro,Brasil,Hidrelétrica,34450,23,2018,424181,"0,7998",614976,1251,1933876,8249,5413712,Agronegócio,Temperado
65,Berlim,Alemanha,Eólica,36168,15,2023,45921,"0,6253",430891,2931,5784369,713,13428495,Agronegócio,Mediterrâneo
66,Munique,Alemanha,Nuclear,9128,7,2021,349793,"0,5476",819752,448,795155,6069,12668156,Mineração,Tropical
67,Mumbai,Índia,Hidrelétrica,28979,24,2015,208300,"0,3398",456713,1529,3672064,8565,8346065,Manufatura,Frio
68,Nova Délhi,Índia,Hidrelétrica,9471,2,2022,417347,"0,5203",111403,4253,653613,868,13403181,Manufatura,Temperado
69,Pequim,China,Gás Natural,49955,19,2023,467831,"0,1813",753043,261,2755722,7315,5954416,Manufatura,Temperado
70,Xangai,China,Gás Natural,44933,24,2022,460645,"0,8963",241432,3992,4339572,576,19227264,Financeiro,Frio
71,Tóquio,Japão,Nuclear,40775,1,2022,92076,"0,4982",919918,3266,4502616,7951,15193930,Turismo,Frio
72,Osaka,Japão,Hidrelétrica,39741,8,2018,465139,"0,4015",338697,176,7845624,8603,13131003,Financeiro,Mediterrâneo
73,Londres,Reino Unido,Hidrelétrica,33351,22,2021,5903,"0,7126",277997,4744,5552326,6377,14274472,Manufatura,Frio
74,Paris,França,Eólica,7596,6,2019,461145,"0,5647",475816,839,199634,5465,5922046,Mineração,Frio
75,Toronto,Canadá,Hidrelétrica,18142,18,2021,152597,"0,8972",472360,285,1173125,5275,16524715,Turismo,Mediterrâneo
76,Vancouver,Canadá,Gás Natural,34104,8,2021,256131,"0,4068",213226,2594,6710416,6889,14178881,Tecnologia,Desértico
77,Sydney,Austrália,Eólica,38337,9,2016,438761,"0,5652",982067,4181,411006,6534,3410159,Tecnologia,Temperado
78,Melbourne,Austrália,Eólica,3661,17,2021,214627,"0,1332",740829,2918,153468,7689,18554288,Agronegócio,Mediterrâneo
79,Cidade do México,México,Gás Natural,47582,5,2022,120253,"0,6168",481754,537,11742765,8493,8754296,Agronegócio,Temperado
80,Moscou,Rússia,Carvão,37891,7,2019,252743,"0,8654",488502,4774,9294708,6054,11960651,Turismo,Mediterrâneo
81,Nova York,Estados Unidos,Eólica,20501,17,2023,5446,"0,1926",100603,4053,880562,6058,16843561,Manufatura,Mediterrâneo
82,Los Angeles,Estados Unidos,Hidrelétrica,3077,23,2021,212149,"0,4121",390024,735,367648,556,19182998,Mineração,Frio
83,São Paulo,Brasil,Eólica,5252,22,2017,378554,"0,2761",954357,1243,1174932,5878,9817844,Turismo,Mediterrâneo
84,Rio de Janeiro,Brasil,Hidrelétrica,43419,7,2018,307003,"0,1302",153841,4489,2718851,5212,6466077,Turismo,Tropical
85,Berlim,Alemanha,Eólica,40707,23,2021,24801,"0,0217",351526,139,5456315,9497,10136524,Turismo,Frio
86,Munique,Alemanha,Solar,11405,14,2021,236599,"0,8439",811724,1054,356839,7808,16711379,Tecnologia,Tropical
87,Mumbai,Índia,Solar,44759,13,2023,121788,"0,1332",237484,1979,9308681,9394,10973864,Financeiro,Mediterrâneo
88,Nova Délhi,Índia,Nuclear,33025,18,2017,421176,"0,5174",696494,3101,2344428,9268,11513502,Turismo,Desértico
89,Pequim,China,Gás Natural,15985,13,2021,174948,"0,3353",802548,2478,3478343,7936,15197920,Agronegócio,Mediterrâneo
90,Xangai,China,Eólica,10148,14,2015,347324,"0,1595",423198,1312,2220087,8393,19220078,Turismo,Frio
91,Tóquio,Japão,Gás Natural,11511,15,2021,319739,"0,4309",143531,369,2018449,9325,5244236,Tecnologia,Desértico
92,Osaka,Japão,Solar,41085,15,2019,449013,"0,6387",76027,3556,155533,9789,18777534,Mineração,Temperado
93,Londres,Reino Unido,Hidrelétrica,20043,14,2016,143017,"0,4509",422066,1605,2367602,8081,18256517,Agronegócio,Temperado
94,Paris,França,Nuclear,32007,25,2022,203941,"0,8546",313943,752,7744584,9108,17752752,Financeiro,Temperado
95,Toronto,Canadá,Solar,28900,2,2018,325615,"0,8965",10596,4367,6169879,8957,15968594,Tecnologia,Tropical
96,Vancouver,Canadá,Eólica,4774,16,2018,434102,"0,4605",805071,3432,356192,7233,16759326,Manufatura,Mediterrâneo
97,Sydney,Austrália,Eólica,34152,12,2021,246950,"0,2763",847604,228,3077252,9448,16064268,Financeiro,Frio
98,Melbourne,Austrália,Carvão,34553,8,2017,107718,"0,1458",301964,196,570047,7646,13414609,Turismo,Mediterrâneo
99,Cidade do México,México,Nuclear,14530,14,2019,351942,"0,2978",113854,682,545875,7195,12787261,Agronegócio,Frio
100,Moscou,Rússia,Solar,27973,13,2022,180977,"0,4721",308963,843,6085533,5468,15143535,Manufatura,Mediterrâneo
101,Nova York,Estados Unidos,Solar,39311,19,2020,158456,"0,5608",439506,4376,2243388,810,2968751,Turismo,Mediterrâneo
102,Los Angeles,Estados Unidos,Gás Natural,25723,8,2017,327048,"0,2053",277267,959,2893888,5715,1246032,Turismo,Tropical
103,São Paulo,Brasil,Gás Natural,12388,11,2022,120302,"0,7392",482237,1192,881079,8051,3379151,Tecnologia,Desértico
104,Rio de Janeiro,Brasil,Hidrelétrica,19543,24,2023,114816,"0,4328",177179,3057,1827237,8988,16745422,Agronegócio,Desértico
105,Berlim,Alemanha,Carvão,43075,12,2019,322649,"0,5228",84187,989,5545963,5114,15103388,Financeiro,Frio
106,Munique,Alemanha,Carvão,20799,21,2021,146003,"0,8133",252084,3787,2713446,690,19986505,Manufatura,Tropical
107,Mumbai,Índia,Nuclear,24899,2,2019,468852,"0,6188",230272,3739,1344385,9713,9078141,Turismo,Frio
108,Nova Délhi,Índia,Nuclear,31540,23,2018,316310,"0,5444",796222,2942,7317227,9202,13528382,Turismo,Mediterrâneo
109,Pequim,China,Hidrelétrica,30019,12,2019,48871,"0,8329",785577,1442,5569711,587,5940353,Tecnologia,Frio
110,Xangai,China,Solar,21062,17,2021,388160,"0,4608",211612,4697,3994921,7705,6433617,Tecnologia,Desértico
111,Tóquio,Japão,Nuclear,24707,17,2016,69344,"0,0517",364625,2534,5433055,626,14989982,Financeiro,Frio
112,Osaka,Japão,Hidrelétrica,4409,12,2023,466086,"0,5976",72948,466,297875,6188,9938086,Financeiro,Desértico
113,Londres,Reino Unido,Hidrelétrica,10891,2,2015,209540,"0,4366",968005,121,2657623,5875,19181429,Agronegócio,Desértico
114,Paris,França,Nuclear,2438,19,2020,47193,"0,6342",263805,161,27471,8879,10211694,Manufatura,Temperado
115,Toronto,Canadá,Solar,6109,21,2019,48947,"0,6672",976444,2451,648032,6264,6663473,Agronegócio,Temperado
116,Vancouver,Canadá,Gás Natural,28643,21,2023,438537,"0,6946",144989,2608,319875,741,10169118,Tecnologia,Mediterrâneo
117,Sydney,Austrália,Carvão,36030,8,2023,186250,"0,1251",753271,2267,6260873,5002,7325091,Financeiro,Desértico
118,Melbourne,Austrália,Solar,3982,5,2023,14855,"0,8321",231325,1595,263175,7167,19062255,Turismo,Tropical
119,Cidade do México,México,Hidrelétrica,28450,5,2023,481277,"0,5888",498289,283,6655167,5249,19075624,Mineração,Temperado
120,Moscou,Rússia,Solar,3479,13,2018,65745,"0,5278",407398,4022,174589,6489,9473370,Financeiro,Frio
121,Nova York,Estados Unidos,Hidrelétrica,10931,15,2016,330642,"0,8491",638783,2288,1064965,5692,18629539,Agronegócio,Desértico
122,Los Angeles,Estados Unidos,Gás Natural,36376,24,2020,300519,"0,0172",744076,3085,8206988,6747,4995843,Tecnologia,Temperado
123,São Paulo,Brasil,Hidrelétrica,13018,15,2022,319346,"0,6672",635611,1409,243468,7648,19620086,Tecnologia,Tropical
124,Rio de Janeiro,Brasil,Eólica,29810,24,2015,405451,"0,7862",214567,1598,2235629,8552,14909599,Tecnologia,Mediterrâneo
125,Berlim,Alemanha,Eólica,19731,1,2022,408778,"0,8513",348606,1831,3044576,7177,1387239,Agronegócio,Frio
126,Munique,Alemanha,Eólica,19192,1,2021,478043,"0,1703",315542,4207,2623239,9579,12674780,Financeiro,Tropical
127,Mumbai,Índia,Gás Natural,16551,9,2015,123998,"0,3301",537837,2952,1670905,7601,4579830,Turismo,Mediterrâneo
128,Nova Délhi,Índia,Solar,4467,12,2018,45220,"0,7896",184693,2426,341594,803,11505712,Turismo,Frio
129,Pequim,China,Nuclear,17068,9,2022,190897,"0,4545",962039,1868,1063975,6008,5856979,Manufatura,Mediterrâneo
130,Xangai,China,Eólica,14197,1,2021,221889,"0,6299",347723,3937,1371967,7958,2312916,Financeiro,Frio
131,Tóquio,Japão,Solar,32745,6,2015,306621,"0,7271",879538,405,3931011,6209,16271536,Agronegócio,Tropical
132,Osaka,Japão,Nuclear,4810,21,2015,489511,"0,1367",586397,1697,268805,7051,5551883,Mineração,Desértico
133,Londres,Reino Unido,Eólica,24250,11,2019,450343,"0,8644",714027,1316,4960791,9604,12891759,Financeiro,Desértico
134,Paris,França,Carvão,18507,18,2015,274143,"0,2993",594483,2967,3136106,5999,14359449,Manufatura,Temperado
135,Toronto,Canadá,Solar,24525,5,2019,425906,"0,4758",121110,3077,565524,6748,19199591,Mineração,Temperado
136,Vancouver,Canadá,Eólica,14477,6,2023,464162,"0,3426",905348,986,2076997,6976,9668148,Turismo,Frio
137,Sydney,Austrália,Nuclear,40462,23,2021,385869,"0,6024",412357,858,1028123,9673,4310008,Tecnologia,Frio
138,Melbourne,Austrália,Carvão,4306,17,2018,408291,"0,8099",837416,4823,776088,7087,3623701,Agronegócio,Mediterrâneo
139,Cidade do México,México,Hidrelétrica,23483,18,2015,86685,"0,7404",758461,3636,1050667,8209,18119847,Manufatura,Frio
140,Moscou,Rússia,Gás Natural,15384,19,2020,177583,"0,1254",505318,3672,2733822,5526,11503093,Turismo,Tropical
141,Nova York,Estados Unidos,Carvão,31567,2,2017,197597,"0,5901",839431,2259,5779554,6507,9880470,Mineração,Mediterrâneo
142,Los Angeles,Estados Unidos,Eólica,25406,22,2018,295159,"0,0504",737975,1339,4037801,5685,10897652,Agronegócio,Mediterrâneo
143,São Paulo,Brasil,Eólica,28760,15,2018,75122,"0,5045",168172,3037,2635758,5818,11631996,Manufatura,Tropical
144,Rio de Janeiro,Brasil,Gás Natural,28352,23,2023,140964,"0,8113",808223,1613,1179634,8236,1933184,Tecnologia,Frio
145,Berlim,Alemanha,Hidrelétrica,31373,13,2021,222749,"0,4118",268509,1245,172765,7765,12635173,Financeiro,Frio
146,Munique,Alemanha,Gás Natural,17532,15,2016,329024,"0,8725",242355,976,3854506,7844,8279853,Agronegócio,Tropical
147,Mumbai,Índia,Carvão,41775,21,2022,373055,"0,3925",698864,1032,5957757,8553,7444869,Mineração,Temperado
148,Nova Délhi,Índia,Carvão,45787,18,2018,198324,"0,4117",933413,3992,10734294,5408,977072,Mineração,Frio
149,Pequim,China,Eólica,26719,25,2023,345445,"0,2063",344229,3429,2360132,9004,8410130,Turismo,Desértico
150,Xangai,China,Solar,33993,2,2018,211863,"0,8284",868964,293,954687,7582,10674279,Tecnologia,Frio
151,Tóquio,Japão,Eólica,36406,24,2022,52881,"0,5404",878601,3328,7497686,5285,15532177,Turismo,Tropical
152,Osaka,Japão,Nuclear,14781,7,2016,78171,"0,3752",318188,253,3137444,9524,13886980,Financeiro,Desértico
153,Londres,Reino Unido,Solar,43735,8,2021,298133,"0,4503",442227,3095,6500711,6455,6721718,Manufatura,Tropical
154,Paris,França,Nuclear,15294,14,2015,4604,"0,2391",920843,2454,1128937,8153,1980051,Manufatura,Tropical
155,Toronto,Canadá,Carvão,48047,16,2018,256774,"0,8445",262938,30,1726319,6296,10139694,Agronegócio,Mediterrâneo
156,Vancouver,Canadá,Carvão,35858,9,2023,52088,"0,1449",361929,3903,7151128,6231,15075980,Manufatura,Mediterrâneo
157,Sydney,Austrália,Nuclear,37069,25,2016,363275,"0,3409",215542,1463,4424648,7495,17097730,Manufatura,Mediterrâneo
158,Melbourne,Austrália,Nuclear,18526,6,2018,484635,"0,5561",904610,2768,3154891,5368,19159803,Mineração,Mediterrâneo
159,Cidade do México,México,Eólica,26994,13,2019,456816,"0,1782",322724,3563,146429,7738,17023110,Financeiro,Desértico
160,Moscou,Rússia,Solar,42040,8,2018,237205,"0,3656",806589,712,857119,7614,10778311,Tecnologia,Tropical
161,Nova York,Estados Unidos,Eólica,39956,18,2018,287092,"0,5039",88130,1434,1406947,6265,4533703,Manufatura,Temperado
162,Los Angeles,Estados Unidos,Carvão,41235,19,2023,369239,"0,4968",394122,508,1306172,8389,6426786,Financeiro,Temperado
163,São Paulo,Brasil,Solar,16856,9,2015,419622,"0,8305",723963,285,3522203,8309,3010679,Agronegócio,Desértico
164,Rio de Janeiro,Brasil,Gás Natural,1315,2,2019,126968,"0,6036",679401,3217,71456,6015,8693190,Tecnologia,Temperado
165,Berlim,Alemanha,Eólica,32260,7,2017,267721,"0,2443",663634,163,2786518,6699,3748420,Agronegócio,Mediterrâneo
166,Munique,Alemanha,Hidrelétrica,34729,8,2016,20916,"0,3929",825513,2184,5103805,9366,6449971,Turismo,Tropical
167,Mumbai,Índia,Solar,35887,15,2017,220582,"0,5054",640138,86,7392932,9331,17981468,Mineração,Desértico
168,Nova Délhi,Índia,Gás Natural,20900,11,2015,453178,"0,2503",58474,4428,1862867,724,8732630,Manufatura,Desértico
169,Pequim,China,Carvão,3743,24,2022,5192,"0,1383",28553,1036,921515,8831,703791,Manufatura,Mediterrâneo
170,Xangai,China,Hidrelétrica,37211,17,2023,318052,"0,4834",220030,3127,1847191,6761,2463789,Turismo,Frio
171,Tóquio,Japão,Eólica,13610,9,2020,420604,"0,0605",42330,3938,3268791,7305,12004045,Tecnologia,Temperado
172,Osaka,Japão,Carvão,25479,7,2017,85436,"0,6653",516684,683,5925589,6877,15187132,Manufatura,Desértico
173,Londres,Reino Unido,Solar,9509,11,2021,35142,"0,6037",623881,579,221763,6669,9970865,Financeiro,Mediterrâneo
174,Paris,França,Nuclear,33144,24,2015,285198,"0,3967",70852,1107,4494176,5391,16139487,Manufatura,Mediterrâneo
175,Toronto,Canadá,Eólica,8516,6,2022,74088,"0,8568",693786,26,76940,5062,5903131,Turismo,Tropical
176,Vancouver,Canadá,Nuclear,1926,16,2016,115430,"0,5428",366856,272,479444,7169,2249554,Financeiro,Desértico
177,Sydney,Austrália,Eólica,8824,16,2020,278651,"0,3628",151280,1453,148622,9192,12868170,Manufatura,Mediterrâneo
178,Melbourne,Austrália,Solar,34397,23,2021,494137,"0,3942",603679,2794,7653961,5384,12430243,Financeiro,Temperado
179,Cidade do México,México,Eólica,47436,13,2023,225947,"0,2476",737726,2745,4215047,7925,1225236,Agronegócio,Tropical
180,Moscou,Rússia,Solar,39096,18,2022,295174,"0,2859",268743,1498,9126552,6771,3479238,Tecnologia,Desértico
181,Nova York,Estados Unidos,Nuclear,26230,19,2021,216406,"0,1235",307154,452,5758731,7208,19035008,Mineração,Tropical
182,Los Angeles,Estados Unidos,Gás Natural,45939,1,2017,8077,"0,8225",639667,825,805603,8054,12760853,Mineração,Desértico
183,São Paulo,Brasil,Solar,28041,11,2016,287264,"0,8058",606714,2408,5282785,7823,777799,Financeiro,Temperado
184,Rio de Janeiro,Brasil,Carvão,7894,17,2020,131718,"0,7905",703080,3224,1011139,6222,2217596,Financeiro,Tropical
185,Berlim,Alemanha,Gás Natural,39134,14,2016,385750,"0,8201",990840,2341,1243929,6269,4708583,Manufatura,Tropical
186,Munique,Alemanha,Gás Natural,11991,2,2018,312858,"0,7148",788624,871,2774925,796,3598578,Turismo,Frio
187,Mumbai,Índia,Gás Natural,30854,9,2021,173345,"0,7955",135820,1128,1798343,8596,2853929,Tecnologia,Frio
188,Nova Délhi,Índia,Gás Natural,12977,7,2020,451545,"0,3706",133384,3579,2803948,5324,15922977,Turismo,Tropical
189,Pequim,China,Nuclear,46049,2,2017,268913,"0,0116",896077,1957,10022759,7502,12014948,Tecnologia,Mediterrâneo
190,Xangai,China,Carvão,8557,24,2017,385587,"0,5513",56702,1927,1509812,7591,14261883,Financeiro,Tropical
191,Tóquio,Japão,Gás Natural,34093,21,2019,102235,"0,3333",860882,1834,7110918,6999,4275062,Financeiro,Desértico
192,Osaka,Japão,Solar,9791,7,2021,344029,"0,3028",352910,286,103832,5953,14384441,Mineração,Frio
193,Londres,Reino Unido,Gás Natural,46194,15,2017,223451,"0,7069",552668,3205,1763342,8988,14982479,Agronegócio,Frio
194,Paris,França,Solar,31715,16,2019,366191,"0,6116",844676,2103,3926176,610,15757916,Manufatura,Temperado
195,Toronto,Canadá,Nuclear,21263,13,2015,20830,"0,3617",917357,3645,185133,9098,6173689,Manufatura,Desértico
196,Vancouver,Canadá,Nuclear,44576,6,2017,286396,"0,7839",463298,379,3326973,9288,2382406,Turismo,Temperado
197,Sydney,Austrália,Hidrelétrica,44470,6,2018,308275,"0,0293",252964,73,5958413,5641,18659367,Tecnologia,Desértico
198,Melbourne,Austrália,Solar,44213,24,2020,255737,"0,1492",77869,360,2332542,5648,17425069,Mineração,Desértico
199,Cidade do México,México,Eólica,35906,9,2018,139974,"0,8061",249720,74,6341919,8354,8625968,Financeiro,Desértico
200,Moscou,Rússia,Eólica,8237,11,2021,312463,"0,6014",568438,4918,1738607,854,12914371,Mineração,Tropical
201,Nova York,Estados Unidos,Gás Natural,32851,17,2020,393698,"0,5785",867537,1068,8208124,7091,15388184,Turismo,Desértico
202,Los Angeles,Estados Unidos,Eólica,33720,7,2020,328628,"0,3093",894470,2119,6438147,869,14827346,Mineração,Mediterrâneo
203,São Paulo,Brasil,Nuclear,8525,24,2016,362083,"0,3711",43188,3998,116923,6279,15558981,Manufatura,Desértico
204,Rio de Janeiro,Brasil,Carvão,36100,18,2023,380081,"0,5155",220772,4089,2085661,7888,19551345,Manufatura,Frio
205,Berlim,Alemanha,Solar,17343,17,2021,98871,"0,4549",168592,1189,2822544,8291,7156295,Turismo,Mediterrâneo
206,Munique,Alemanha,Hidrelétrica,13272,15,2016,286941,"0,5435",434483,4644,2337229,7238,11148461,Turismo,Tropical
207,Mumbai,Índia,Eólica,1179,6,2015,285045,"0,2064",24442,487,216698,7426,7494917,Manufatura,Temperado
208,Nova Délhi,Índia,Carvão,9947,5,2018,360247,"0,4924",409577,4126,1344783,9608,5961123,Agronegócio,Frio
209,Pequim,China,Eólica,19147,5,2016,298474,"0,2302",63300,2267,78655,5244,6382373,Tecnologia,Desértico
210,Xangai,China,Eólica,11150,13,2015,323732,"0,5546",970048,3341,320064,784,4195081,Manufatura,Desértico
211,Tóquio,Japão,Eólica,18979,2,2023,141098,"0,0749",914934,1641,2709119,7504,18912604,Tecnologia,Mediterrâneo
212,Osaka,Japão,Hidrelétrica,9088,17,2016,376705,"0,6718",805670,329,846614,822,12068099,Tecnologia,Mediterrâneo
213,Londres,Reino Unido,Solar,9761,21,2021,179913,"0,4927",199661,3558,842395,9443,18551564,Agronegócio,Desértico
214,Paris,França,Eólica,29634,6,2019,293102,"0,0106",427684,1545,229025,8142,2174045,Turismo,Frio
215,Toronto,Canadá,Nuclear,11131,8,2022,213789,"0,3112",115973,397,273671,832,2333534,Turismo,Mediterrâneo
216,Vancouver,Canadá,Gás Natural,44587,23,2020,140301,"0,2487",815042,4302,799420,7828,10099739,Financeiro,Mediterrâneo
217,Sydney,Austrália,Carvão,6609,11,2019,360926,"0,0566",868465,2677,1632565,5294,13914173,Agronegócio,Tropical
